Date,Open,High,Low,Close,Adj Close,Volume
2020-02-11,3351.000000,3374.500000,3349.250000,3357.500000,3357.500000,1486164
2020-02-12,3360.500000,3381.500000,3355.500000,3380.500000,3380.500000,1229231
2020-02-13,3381.250000,3384.750000,3348.500000,3377.500000,3377.500000,1772784
2020-02-14,3379.500000,3388.500000,3365.250000,3381.000000,3381.000000,1334897
2020-02-16,3382.250000,3389.500000,3382.000000,3387.750000,3387.750000,518469
2020-02-18,3382.250000,3392.500000,3355.250000,3369.250000,3369.250000,1735931
2020-02-19,3372.000000,3393.750000,3370.750000,3387.250000,3387.250000,1163426
2020-02-20,3391.750000,3397.500000,3339.250000,3369.250000,3369.250000,2073749
2020-02-21,3367.000000,3369.250000,3328.000000,3339.250000,3339.250000,2293728
2020-02-23,3309.000000,3312.000000,3289.500000,3299.250000,3299.250000,3553955
2020-02-24,3309.000000,3312.000000,3213.750000,3226.250000,3226.250000,3636687
2020-02-25,3223.000000,3259.500000,3117.250000,3132.500000,3132.500000,4375530
2020-02-26,3138.000000,3182.000000,3091.000000,3110.250000,3110.250000,3889097
2020-02-27,3100.250000,3117.000000,2944.500000,2957.000000,2957.000000,4734434
2020-02-28,2950.000000,2996.000000,2853.250000,2951.000000,2951.000000,5715227
2020-03-01,2950.000000,2996.000000,2853.250000,2957.000000,2957.000000,5499126
2020-03-02,2900.000000,3093.250000,2889.250000,3065.000000,3065.000000,3689149
2020-03-03,3077.000000,3137.000000,2973.000000,2997.000000,2997.000000,3754363
2020-03-04,2988.250000,3129.500000,2976.500000,3114.750000,3114.750000,2590464
2020-03-05,3109.250000,3113.750000,2996.500000,3015.500000,3015.500000,2807262
2020-03-06,3024.250000,3037.000000,2898.000000,2964.000000,2964.000000,3163400
2020-03-08,3024.250000,3037.000000,2898.000000,3015.500000,3015.500000,3010973
2020-03-09,2916.000000,2916.000000,2715.000000,2747.750000,2747.750000,2672753
2020-03-10,2733.000000,2884.750000,2695.250000,2865.750000,2865.750000,3423140
2020-03-11,2859.500000,2869.500000,2702.750000,2740.250000,2740.250000,2992894
2020-03-12,2738.000000,2774.000000,2442.500000,2469.000000,2469.000000,4366577
2020-03-13,2429.500000,2707.750000,2393.500000,2696.000000,2696.000000,3423449
2020-03-15,2429.500000,2707.750000,2393.500000,2468.899902,2468.899902,3295273
2020-03-16,2673.750000,2675.000000,2360.250000,2416.250000,2416.250000,2378284
2020-03-17,2417.250000,2554.500000,2365.000000,2495.500000,2495.500000,1683796
2020-03-18,2478.500000,2498.000000,2274.750000,2414.000000,2414.000000,976536
2020-03-19,2414.250000,2474.000000,2288.000000,2403.250000,2403.250000,631228
2020-03-20,2364.250000,2512.750000,2346.250000,2437.979980,2437.979980,3075997
2020-03-22,2220.250000,2229.000000,2174.000000,2203.250000,2203.250000,3590572
2020-03-23,2220.250000,2386.000000,2174.000000,2220.500000,2220.500000,3076791
2020-03-24,2233.250000,2447.750000,2230.500000,2438.000000,2438.000000,2639522
2020-03-25,2442.750000,2560.750000,2386.000000,2467.000000,2467.000000,3037767
